3 	 -1 
2 	 -1 
7 	 -1 
0  	 0
23 	 -1 
5 	 -1 
31 	 -1 
1  	 1
32 	 -1 
6 	 -1 
8 	 -1 
24 	 -1 
0  	 2
25 	 -1 
0  	 3
25 	 -1 
0  	 4
23 	 -1 
8 	 -1 
24 	 -1 
10 	 -1 
23 	 -1 
0  	 4
37 	 -1 
1  	 5
24 	 -1 
12 	 -1 
29 	 -1 
0  	 2
30 	 -1 
24 	 -1 
0  	 3
37 	 -1 
1  	 6
24 	 -1 
15 	 -1 
29 	 -1 
0  	 3
0  	 2
30 	 -1 
16 	 -1 
10 	 -1 
23 	 -1 
12 	 -1 
29 	 -1 
0  	 0
31 	 -1 
0  	 3
32 	 -1 
30 	 -1 
24 	 -1 
0  	 4
37 	 -1 
0  	 4
27 	 -1 
0  	 0
31 	 -1 
0  	 3
32 	 -1 
24 	 -1 
11 	 -1 
24 	 -1 
13 	 -1 
29 	 -1 
0  	 4
30 	 -1 
24 	 -1 
11 	 -1 
24 	 -1 
0  	 0
4 	 -1 
26 	 -1 
